ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
270	473423	breket	bracket	n	SVB-GA	1973	Atong	
271	473424	brekyt	bracket	n	SVB-GA	1973	Atong	
272	473425	Britis	British	n	SVB-GA	1973	Atong	
273	473426	bu-	sharp (of pointed things)	adj1	SVB-GA	1973	Atong	
274	473427	bu•chok-	sharp (of pointy objects)	be v.	SVB-GA	1973	Atong	
275	473428	bu•chot	mango	n	SVB-GA	1973	Atong	
276	473429	buchotpan	mango tree	n	SVB-GA	1973	Atong	
277	473430	budbal	Wednesday	n	SVB-GA	1973	Atong	
278	473431	bugyryk	type of vegetable	n	SVB-GA	1973	Atong	
279	473432	bui-	murky, turbid	adj1	SVB-GA	1973	Atong	
280	473433	bukalang	to have holes in it (of clothes)	adj2	SVB-GA	1973	Atong	
281	473434	bul-	stir	v	SVB-GA	1973	Atong	
282	473435	bul-	dig up, to unearth	v	SVB-GA	1973	Atong	
283	473436	buna	big black and yellow flying insect	n	SVB-GA	1973	Atong	
284	473437	burbok	idiot	n	SVB-GA	1973	Atong	
285	473438	bulbok	idiot	n	SVB-GA	1973	Atong	
286	473439	but-	squeeze in, to penetrate, to go inside a hole	v	SVB-GA	1973	Atong	
287	473440	butang	fucker (swearword)	n	SVB-GA	1973	Atong	
288	473441	butbal	Wednesday	n	SVB-GA	1973	Atong	
289	473442	buthu-	seal, to close a receptacle by putting something in the opening	v	SVB-GA	1973	Atong	
290	473443	buthu-	boil (of water)	v	SVB-GA	1973	Atong	
291	473444	buthyw-	boil (of water)	v	SVB-GA	1973	Atong	
292	473445	bythyw-	boil (of water)	v	SVB-GA	1973	Atong	
293	473446	butsa	type of big red ant	n	SVB-GA	1973	Atong	
294	473447	-butung	concomitant action suffix	sfx	SVB-GA	1973	Atong	
295	473448	bychym-	pull up/out	v	SVB-GA	1973	Atong	
296	473449	bydyi	old (for persons)	adj2	SVB-GA	1973	Atong	
297	473450	bydyi	old man	n	SVB-GA	1973	Atong	
298	473451	bydyi badai	old couple	n	SVB-GA	1973	Atong	
299	473452	byira	cat	n	SVB-GA	1973	Atong	
300	473453	byirakhem	type of bee	n	SVB-GA	1973	Atong	
301	473454	byisa-	dance	v	SVB-GA	1973	Atong	
302	473455	bysa-	dance	v	SVB-GA	1973	Atong	
303	473456	byisyk	how much? how many?	interr	SVB-GA	1973	Atong	
304	473457	bykbyk	quickly	adv	SVB-GA	1973	Atong	
305	473458	bykot-	unsheathe, to take out	v	SVB-GA	1973	Atong	
306	473459	bykphyl	inside out	adj2	SVB-GA	1973	Atong	
307	473460	byl	strength, muscle	n	SVB-GA	1973	Atong	
308	473461	byl-	make a drum and cover it with skin	v	SVB-GA	1973	Atong	
309	473462	byl-	cut and kill a big animal or person, to slay	v	SVB-GA	1973	Atong	
310	473463	byl•	strike	n	SVB-GA	1973	Atong	
311	473464	bylak-	strong	adj1	SVB-GA	1973	Atong	
312	473465	bylbang	tie beam	n	SVB-GA	1973	Atong	
313	473466	bylet	razor blade	n	SVB-GA	1973	Atong	
314	473467	-bylok	V into pulp	evsp	SVB-GA	1973	Atong	
315	473468	bylong-	too much	be v.	SVB-GA	1973	Atong	
316	473469	bylongen	very	adv	SVB-GA	1973	Atong	
317	473470	bylongok	So stupid!	interj	SVB-GA	1973	Atong	
318	473471	bylsi	year	n	SVB-GA	1973	Atong	
319	473472	bylu	blue	n	SVB-GA	1973	Atong	
320	473473	byryi	four	num	SVB-GA	1973	Atong	
321	473474	byrymbyrym	multicoloured	adj2	SVB-GA	1973	Atong	
322	473475	byryp	lying on his belly	adj2	SVB-GA	1973	Atong	
323	473476	byt-	pull, drag, drive, ride, transport, lead, haul, draw, shock (electricity)	v	SVB-GA	1973	Atong	
324	473477	bytai-	lead here, to bring here (by driving)	v	SVB-GA	1973	Atong	
325	473478	byt◦chirit-	draw a line	v	SVB-GA	1973	Atong	
326	473479	bytganggang-	drive a vehicle over a bumpy road	v	SVB-GA	1973	Atong	
327	473480	bythyi	porcupine	n	SVB-GA	1973	Atong	
328	473481	bythyn	shade	n	SVB-GA	1973	Atong	
329	473482	bythyw-	blocked	be v.	SVB-GA	1973	Atong	
330	473483	bythyw-	close the wa•sung or such containers with rai•chak so that the vapour cannot come out	v	SVB-GA	1973	Atong	
331	473484	bytjekjek-	give short jerks	v	SVB-GA	1973	Atong	
332	473485	bytphin-	rewind	v	SVB-GA	1973	Atong	
333	473486	bytphuruk-	tear out with the roots	v	SVB-GA	1973	Atong	
334	473487	bytsek-	take away a person, to steal a person	v	SVB-GA	1973	Atong	
335	473488	bytsorok-	pull out	v	SVB-GA	1973	Atong	
336	473489	bytwa(mi)	harvest	n	SVB-GA	1973	Atong	
337	473490	bytwamyng	harvest	n	SVB-GA	1973	Atong	
338	473491	bytwami	tug-of-war	n	SVB-GA	1973	Atong	
339	473492	bytym	good smell	n	SVB-GA	1973	Atong	
340	473493	bytym	fat (of human or animal), grease	n	SVB-GA	1973	Atong	
341	473494	bytym-	smell nice	v	SVB-GA	1973	Atong	
342	473495	bytyw-	boil (of water)	v	SVB-GA	1973	Atong	
343	473496	bywsa-	dance	v	SVB-GA	1973	Atong	
344	473497	cha	tea	n	SVB-GA	1973	Atong	
345	473498	-cha	negative polarity suffix	sfx	SVB-GA	1973	Atong	
346	473499	cha•	leg, foot	n	SVB-GA	1973	Atong	
347	473500	cha•ang-	set (of the sun)	v	SVB-GA	1973	Atong	
348	473501	cha•bykung	instep	n	SVB-GA	1973	Atong	
349	473502	cha•chak	tea leaf	n	SVB-GA	1973	Atong	
350	473503	cha•◦chok	sole of the foot	n	SVB-GA	1973	Atong	
351	473504	cha•dok	heel	n	SVB-GA	1973	Atong	
352	473505	cha•dyl	root, vein	n	SVB-GA	1973	Atong	
353	473506	cha•dylmorong	main root of a tree	n	SVB-GA	1973	Atong	
354	473507	cha•dylsaphek	small root	n	SVB-GA	1973	Atong	
355	473508	cha•gyl	footstep	n	SVB-GA	1973	Atong	
356	473509	cha•gywgyw-	kneel down	v	SVB-GA	1973	Atong	
357	473510	cha•kereng	shinbone, shin	n	SVB-GA	1973	Atong	
358	473511	cha•◦khawak	hollow side of the knee	n	SVB-GA	1973	Atong	
359	473512	cha•◦khok	hollow side of the knee	n	SVB-GA	1973	Atong	
360	473513	cha•khop	shoe	n	SVB-GA	1973	Atong	
361	473514	ja•hop	shoe	n	SVB-GA	1973	Atong	
362	473515	cha•kok	hollow between the roots of a tree	n	SVB-GA	1973	Atong	
363	473516	cha•◦kyw	knee, length from the knee to the foot	n	SVB-GA	1973	Atong	
364	473517	cha•◦ku	knee, length from the knee to the foot	n	SVB-GA	1973	Atong	
365	473518	cha•ma	lower side, downstream, bottom, below	n	SVB-GA	1973	Atong	
366	473519	cha•man	footprint	n	SVB-GA	1973	Atong	
367	473520	cha•muk	medial malleolus	n	SVB-GA	1973	Atong	
368	473521	cha•◦myn	leg hair	n	SVB-GA	1973	Atong	
369	473522	cha•◦pa	sole of the foot	n	SVB-GA	1973	Atong	
370	473523	cha•pakithyk	heel	n	SVB-GA	1973	Atong	
371	473524	cha•pathai	calf	n	SVB-GA	1973	Atong	
372	473525	cha•◦pha	a foot	clf	SVB-GA	1973	Atong	
373	473526	cha•phak	groin	n	SVB-GA	1973	Atong	
374	473527	cha•phong	thigh	n	SVB-GA	1973	Atong	
375	473528	ca•phung	thigh	n	SVB-GA	1973	Atong	
376	473529	cha•◦phung	upper leg	n	SVB-GA	1973	Atong	
377	473530	cha•pungdym	hip	n	SVB-GA	1973	Atong	
378	473531	cha•ri	seed for planting	n	SVB-GA	1973	Atong	
379	473532	cha•si	toe	n	SVB-GA	1973	Atong	
380	473533	cha•sijyw•bydyi	big toe	n	SVB-GA	1973	Atong	
381	473534	cha•◦syrong-	stretch your leg	v	SVB-GA	1973	Atong	
382	473535	cha•tok	heel	n	SVB-GA	1973	Atong	
383	473536	cha•wek	chaff	n	SVB-GA	1973	Atong	
384	473537	cha•wekdam	place where the chaff is thrown after winnowing the rice	n	SVB-GA	1973	Atong	
385	473538	chabak-	fall (of water in a waterfall)	v	SVB-GA	1973	Atong	
386	473539	chabi	key	n	SVB-GA	1973	Atong	
387	473540	chachek	tea strainer	n	SVB-GA	1973	Atong	
388	473541	cha◦chura	hair on top of the head	n	SVB-GA	1973	Atong	
389	473542	chaduk-	bump	v	SVB-GA	1973	Atong	
390	473543	chagak	palate	n	SVB-GA	1973	Atong	
391	473544	chagak-	hit, to crash	v	SVB-GA	1973	Atong	
