ID	DOCULECT	CONCEPT	RGEN	CONCEPTICON_ID	TBL_ID	GLOSS_IN_SOURCE	IPA	TOKENS
227	Bahing	thou [second person singular]	121828	1215	931	you (pron)	koŋ	k o ŋ
228	Bahing	three	122799	492	799	three (num)	sam	s a m
229	Bahing	to be alive	122769	1422	1087	alive (with pronoun prefix) (adj)	seli	s e l i
230	Bahing	to be alive	122528	1422	1087	live (v)	blœn-	b l œ n
231	Bahing	to bite	121862	1403	1753	bite (v)	krat-	k r a t
232	Bahing	to blow (of wind)	121873	175	1738	blow (of wind) (v)	khitt-	kh i tt
233	Bahing	to blow (of wind)	122616	175	1738	blow (vt)	mytt-	m y tt
234	Bahing	to burn [intransitive]	121777	1428	1269	burn (of food) (vi)	kik-	k i k
235	Bahing	to burn [intransitive]	122289	1428	1269	burn (v)	dyp-	d y p
236	Bahing	to burn [intransitive]	122901	1428	1269	burn (vi)	hø-	h ø
237	Bahing	to buy	122147	1869	1516	buy (vt)	dzap-	d z a p
238	Bahing	to chew	122339	321	1424	chew (vt)	nɔk-	n ɔ k
239	Bahing	to come	122009	1446	1491	exit, come or go out, cross a river (vi)	gluŋ-	g l u ŋ
240	Bahing	to come	122355	1446	1491	come (on the same level) (vi)	pi-	p i
241	Bahing	to come	122662	1446	1491	come, ? come back (vi)	ra-	r a
242	Bahing	to come	122171	1446	1491	arrive (vi)	dz(h)ɔk-	d z ɔ k
243	Bahing	to count	122861	1420	1640	count (vt)	hik-	h i k
244	Bahing	to cry (weep)	122042	1839	1485	weep (vi)	ŋɔk-	ŋ ɔ k
245	Bahing	to cry (weep)	122511	1839	1485	shout, cry (also of an animal) (v.)	bret-	b r e t
246	Bahing	to die	122789	1494	1651	kill (vt)	sat-	s a t
247	Bahing	to die	122475	1494	1651	die (v)	bɛk-	b ɛ k
248	Bahing	to die	122870	1494	1651	die (v)	hett-	h e tt
249	Bahing	to dig	122454	1418	1698	dig (? what) (v)	phynt-	ph y n t
250	Bahing	to drink	121797	1401	1370	water (baby talk) (n)	kaku, kaːku	kaku, kaːku
251	Bahing	to drink	122559	1401	1370	water (n)	ʔbɔːky	ʔ b ɔː k y
252	Bahing	to eat	122546	1336	1198	eat (except for cooked grain or soup) (vt)	ʔba-	ʔ b a
253	Bahing	to eat	122145	1336	1198	eat (vi)	dza-	d z a
254	Bahing	to eat	122895	1336	1198	eat (soup, etc.) (vt)	hœpt-	h œ p t
255	Bahing	to eat	121891	1336	1198	eat (curries, not grain) (vt)	khamd-	kh a m d
256	Bahing	to fight	122608	1423	1234	fight (v)	mø-	m ø
257	Bahing	to fly (move through air)	122479	1441	1318	fly (v)	bɛr-	b ɛ r
258	Bahing	to fly (move through air)	122842	1441	1318	fly (n df.)	søima	s ø i m a
259	Bahing	to forget	122424	1523	1704	forget (vt)	plɛnd-	p l ɛ n d
260	Bahing	to give	121776	1447	1345	birth, give (vt)	kik-	k i k
261	Bahing	to give	121943	1447	1345	give, permit (vt)	gi-	g i
262	Bahing	to hear	122023	1408	1682	hear, listen (v)	ŋin-	ŋ i n
263	Bahing	to hide (conceal)	121941	602	1169	hide (oneself) (vr)	khlys-	kh l y s
264	Bahing	to hide (conceal)	121940	602	1169	hide (vt)	khlytt-	kh l y tt
265	Bahing	to hold	122169	1448	1709	catch, hold (vt)	dzhatt-	d zh a tt
266	Bahing	to hunt	122124	1435	1230	chase (vt)	tsytt-	ts y tt
267	Bahing	to hunt	121916	1435	1230	drive (cattle) (vt)	khyl-	kh y l
