ID	rn	reflex	GLOSS	gfn	srcabbr	lgid	language	srcid
256	478969	ʔe.seŋʔ-	physically distressed, uncomfortable (from overeating, pregnancy, poison)	vrt.	RC-DOC	1977	Chepang	
257	478970	ʔeʔ.sayʔ	fruit (sp.), with white spiked skin	n.	RC-DOC	1977	Chepang	
258	478971	ʔeʔ.si	tree (sp.), with white, spikey skinned fruit, Chestnut?	n.	RC-DOC	1977	Chepang	
259	478972	ʔek-	rich, satiating (food, esp. fatty food)	vat.	RC-DOC	1977	Chepang	
260	478973	ʔek.ʔa.cyu.li	bird (sp.), House Martin	n.	RC-DOC	1977	Chepang	
261	478974	ʔek.ʔan	alone (<N ekant)	adv.	RC-DOC	1977	Chepang	
262	478975	ʔek.ʔaŋ.ro	plant (sp.), flowering, used to decorate drum	n.	RC-DOC	1977	Chepang	
263	478976	ʔeŋ-	bedridden, confined to bed, stay in bed	va.	RC-DOC	1977	Chepang	
264	478977	ʔeŋ.ʔa	Causal Conjunction; because, on account of	fn.	RC-DOC	1977	Chepang	
265	478978	ʔeŋ.gay.lə	attractive (red or white objects), colourful, awesome	onom.	RC-DOC	1977	Chepang	
266	478979	ʔeŋ.theŋ	very bright, white	onom.	RC-DOC	1977	Chepang	
267	478980	ʔeŋʔ-	respect (much), reverence, be awed	vi.	RC-DOC	1977	Chepang	
268	478981	ʔeŋʔ.tak-	quieten, cause to calm down (anger)	vt.	RC-DOC	1977	Chepang	
269	478982	ʔeŋʔ.cek	impressive, awesome (cliff, etc.)	onom.	RC-DOC	1977	Chepang	
270	478983	ʔenʔ-	sleep, be lying down	vi.	RC-DOC	1977	Chepang	
271	478984	blaŋ.(dhaŋ).tə ʔenʔ-	lie on back (adult)	vi.	RC-DOC	1977	Chepang	
272	478985	hnilh.ti ʔenʔ-	fall fast asleep	vi.	RC-DOC	1977	Chepang	
273	478986	ʔenʔ.chəwʔ	fat layers (of stomach)	n.	RC-DOC	1977	Chepang	
274	478987	ʔenʔ.bus	sleepiness	n.	RC-DOC	1977	Chepang	
275	478988	ʔenʔ.bus-	sleepy	vi.	RC-DOC	1977	Chepang	
276	478989	ʔenʔ.ramh	sleeping time	nt.	RC-DOC	1977	Chepang	
277	478990	ʔenʔ.ruʔ	fish poison left overnight	n.	RC-DOC	1977	Chepang	
